Idiom_from_diff,Matched_Idiom,Similarity_Score
한솥밥을 먹다,기름밥을 먹다,0.7142857142857143
한술 더 떠서,한술 더 뜨다,0.7142857142857143
한 우물을 파다,한 우물파다,0.8571428571428571
한 ~ 하다,한 건 하다,0.8333333333333334
해가 서쪽에서 뜨겠다,해가 서쪽에서 뜨다,0.9523809523809523
허리가 휘다,허리가 잘리다,0.7692307692307693
허파에 바람이 들다,허파에 바람 들다,0.9473684210526315
혀를 내두르다,혀를 내밀다,0.7692307692307693
호랑이도 제 말하면 온다,호랑이도 제 말 하면 온다,0.9629629629629629
호랑이 새끼를 키우다,호랑이가 새끼 치겠다,0.7272727272727273
호박씨를 까다,호박씨까다,0.8333333333333334
홍역을 치르다,홍역치르다,0.8333333333333334
